lower,rep_voca_id,merge_voca_ids,add_meaning_ids
johnny,50144,18349,
join,387,30819,
josh,50059,12803,"41080,41081"
judaism,27562,40885,
judge,1608,"51964,52054",
karen,50077,10606,
kelly,50241,28453,
keystone,20437,52046,
kim,49950,45341,
lack,30818,1053,
landscape,4429,30817,
larry,50100,7499,
last,1780,30815,
latin,2490,36188,
launch,1740,29804,
leap,1924,36148,
lease,7950,30814,
lee,50131,23046,
lengthy,2288,30813,
letterhead,30458,26744,
letters,50170,27780,
liable,2482,30811,
liberate,3001,"52375,52392",
like-minded,39075,40110,
likely,307,30809,
lily,50228,4436,16324
limited,1853,30808,
listing,7946,30807,
localized,19123,"52218,52260,52308",
logic,7824,52452,
long,283,36162,
lucrative,6110,"52269,52317",
lure,6757,33015,91914
luting,51621,51659,
mac,50087,44927,
machiavellism,46863,33137,
makeup,4422,48410,124636
malalignment,51610,51636,
malcolm,50133,49648,
manifest,6752,"30099,52428",
manual,2182,51980,
mark,30322,245,
martin,50211,10353,
mary,50064,18374,
mater,30543,30018,85525
matter-of-fact,39074,40109,
measuring,29183,47113,
mechanism,10025,52137,
media,51538,27744,80789
meeting,1381,37700,
memorable,8699,52110,
mend,2657,29802,
merge,504,52472,
michael,30166,4100,
michelle,50193,50515,
microabrasion,51667,51734,
mindful,11564,29823,
miss,108,37458,
mitigate,6746,33004,
modify,1899,52410,
mogul,14462,38460,
molly,50079,35204,
moroccan,9694,36612,
motivated,10020,"52190,52231,52279",
mouthguard,51688,51720,
mrs,5388,35027,
ms,5340,35026,
muslim,25725,33474,
nancy,50153,37438,
nonfiction,21912,48417,
notion,10172,52429,
november,7920,41023,
nutritious,2713,"51966,52057",
obscure,6738,52412,134132
occlusion,51731,51738,
october,7919,35727,
odontoplasty,51702,51740,
offend,3157,29826,
offensive,3496,36256,
ok,2303,26946,
once,3491,45601,
onlay,51710,51733,
origin,4398,29832,
ostensible,10787,34544,
overdenture,51755,51765,
overjet,51646,51714,
overlooker,42962,40178,
paul,50001,30484,
pentecost,50393,28252,
perceive,1715,"52219,52261,52309,52473",
percentage,4403,52096,
perceptual,15843,50352,
perfect,1279,37495,
performance,1013,"37347,52188,52229,52277",
periapical,51715,51746,
pericoronitis,51747,51750,
periodontist,51701,51769,
personnel,9364,27777,
persuade,1787,36172,
perturb,19322,32995,
pete,50124,34979,
phil,49956,38487,
philistine,21166,38440,
posture,12217,28025,
potable,17895,36151,
precipitate,12538,52165,
predicament,3863,52031,
predominate,20286,52130,
profitable,2131,29811,
prophy,51650,51753,
proprietary,11053,52028,
prospective,2146,52377,
prosperous,12355,29837,
proteus,49965,47353,
protrusion,20249,52122,
provoke,1454,36248,
psychological,2399,52152,
puritan,17855,34854,
rachel,50186,45753,
radiograph,51656,51778,
radiographic,51648,51748,
radiolucent,51654,51736,
randy,49979,27350,
reap,6363,36149,
recontouring,51751,51777,
redeemable,2738,45586,
refreshing,3113,29848,
refundable,12941,51994,
register,1672,52120,
rehearse,5931,"51965,52056",
relegate,33011,"4654,52034",
reluctance,21074,"52270,52318",
remineralization,51641,51739,
remit,6716,33009,
remote,764,52018,
render,1917,"52204,52247,52295",
reorganize,13032,51985,
representational,32038,52128,
restore,1647,"29818,52397",
restrict,1650,"29809,52474",
rex,50173,3240,12254
rhyme,16269,30466,
rick,50018,12957,
robert,49973,43688,
roger,50118,26169,"76863,76864"
rose,50019,4963,"18042,18043"
ross,50013,12956,
russian,1981,36611,
salaries,49372,27773,
sarah,50248,32963,
satisfied,2373,52065,
scant,18485,48561,
scholarship,2750,"51981,52077",
score,1295,52143,
scott,50192,8688,
sequence,2779,52416,
seth,50220,34863,
sharon,50070,18339,
shipment,11186,30433,
shipping,24154,27769,
shout,1763,37453,
shut,1784,48223,
silvery,23696,37352,
simon,50060,45748,
since,3254,45598,
so,3394,37175,
sora,28957,49386,
spartan,21953,43994,
specifications,30750,27763,
startle,6869,52022,
stephen,50115,31625,
steve,50179,48593,
stimulate,1452,52434,
striking,2105,52160,
struggling,12570,30413,
subcontractor,28828,28010,
subgingival,51662,51725,
subject,1560,52153,
substance,3376,"51982,52078",
sue,50172,1547,6260
sunburn,6661,48409,
sunny,4600,36233,
swipe,6519,52171,
tad,50208,12001,"39062,39064"
taiwanese,34729,36609,
taxis,49415,27759,80804
taylor,50181,29051,
tedious,8681,50353,
theoretical,2379,51978,
thomas,49971,28451,
tibetan,25155,36606,
tiresome,14647,44500,
titan,26403,50471,
tom,49387,5298,19147
tortilla,5878,35672,
transform,1710,"52360,52417",
trap,1446,49888,
treatment,3337,29820,
trey,50126,10069,
trimming,30782,28029,
trouble,745,48227,
truncate,18919,33005,
tuesday,4968,31979,
turkey,4549,49948,
uncovered,20969,29855,
undaunted,8975,48569,
unless,675,45593,
unsatisfied,29857,40875,
venule,44459,44536,
verify,6687,52379,
vindicate,11644,32998,
