lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,add_meaning_ids
maintain,maintain#425 | maintain#52336,,maintain,425,52336,
mandate,mandate#8151 | mandate#52209 | mandate#52251 | mandate#52299,,mandate,8151,"52209,52251,52299",
manipulate,manipulate#476 | manipulate#52393,,manipulate,476,52393,
manipulation,manipulation#8172 | manipulation#52042,,manipulation,8172,52042,
manoeuvre,manoeuvre#12512,,manoeuvre,12512,,
manœuvre,manœuvre#49795,,manœuvre,49795,,
mason,mason#17362 | Mason#30050,Y,Mason,30050,17362,
matinee,matinee#10641,,matinee,10641,,
matineé,matineé#31817,,matineé,31817,,
mike,mike#5453 | Mike#29978,Y,Mike,29978,5453,
monica,monica#49371 | Monica#50178,Y,Monica,50178,49371,
mutual,mutual#2481 | mutual#52453,,mutual,2481,52453,
naive,naive#5780,,naive,5780,,
narrative,narrative#11401 | narrative#52169,,narrative,11401,52169,
nationality,nationality#4173 | Nationality#30037,Y,Nationality,30037,4173,
naïve,naïve#26701,,naïve,26701,,
nonetheless,nonetheless#7537 | nonetheless#52411,,nonetheless,7537,52411,
notwithstanding,notwithstanding#17668 | notwithstanding#52030,,notwithstanding,17668,52030,
obstacle,obstacle#6902 | obstacle#52430,,obstacle,6902,52430,
obtain,obtain#420 | obtain#52454,,obtain,420,52454,
outcome,outcome#6993 | outcome#51975 | outcome#52073,,outcome,6993,"51975,52073",
overcome,overcome#934 | overcome#52181,,overcome,934,52181,
paradoxical,paradoxical#19326 | paradoxical#52266 | paradoxical#52314,,paradoxical,19326,"52266,52314",
parallel,parallel#1040 | parallel#52413,,parallel,1040,52413,
participate,participate#1720 | participate#52108 | participate#52338,,participate,1720,"52108,52338",
passionate,passionate#8144 | passionate#52183 | passionate#52224 | passionate#52272,,passionate,8144,"52183,52224,52272",
pedal,pedal#8169 | pedal#52179,,pedal,8169,52179,
perception,perception#11204 | perception#52221 | perception#52263 | perception#52311,,perception,11204,"52221,52263,52311",
perspective,perspective#794 | perspective#52085 | perspective#52357,,perspective,794,"52085,52357",
peter,peter#17589 | Peter#30469,Y,Peter,30469,17589,
philip,philip#45757 | Philip#50072,Y,Philip,50072,45757,
potent,potent#14619 | potent#52196 | potent#52237 | potent#52285,,potent,14619,"52196,52237,52285",
potential,potential#789 | potential#52081 | potential#52339,,potential,789,"52081,52339",
precise,precise#2393 | precise#52376,,precise,2393,52376,
precision,precision#11939 | precision#52168,,precision,11939,52168,
predominant,predominant#12639 | predominant#52395,,predominant,12639,52395,
preferentially,preferentially#24820 | preferentially#52119,,preferentially,24820,52119,
preparation,preparation#3883 | preparation#52176,,preparation,3883,52176,
preserve,preserve#1661 | preserve#52455,,preserve,1661,52455,
prestige,prestige#13017 | prestige#52431,,prestige,13017,52431,
principle,principle#9096 | principle#52358,,principle,9096,52358,
probability,probability#20859 | probability#52197 | probability#52238 | probability#52286,,probability,20859,"52197,52238,52286",
productivity,productivity#1401 | productivity#51974 | productivity#52071,,productivity,1401,"51974,52071",
prolong,prolong#9208 | prolong#52035,,prolong,9208,52035,
proportion,proportion#9356 | proportion#52199 | proportion#52240 | proportion#52288,,proportion,9356,"52199,52240,52288",
