voca_id,word,system_dictionary,edit1_suggestions,meaning_count,example_count,legacy_books,admin_books,error_meaning_ids,placeholder_meaning_ids,reversed_example_ids,untagged_example_ids,meanings
9875,shoot up,yes,,2,0,1,0,,,,,① 급속히 성장하다 ② 우뚝 솟다 ③ (물가가) 급등하다 / 뛰어오르다; (생산(량) 따위가) 늘다 ④ 마구 쏘아대다; 《구어》 총을 난사하여 위협하다 ⑤ (마약을) 주사하다
9876,brush off,yes,,3,0,1,0,,,,,① ~을 털어버리다 / 치우다 ②~을 무시하다; 해고하다 ③ 《구어》 ~와의 관계를 끊다 / ~을 외면하다
9878,make sense,yes,,3,0,3,0,,,,,말이 되다 / (어떤 일이) 사리에 맞다; (표현·행동 따위가) 의미를 지니다 / 이해할 수 있다
10056,drughead,no,drumhead,1,0,1,0,,,,,중증의 마약 중독자
10057,grouty,yes,,3,0,1,0,,,,,불쾌한 / 심술궂은 / 거친
10214,overdevelop,yes,,2,0,2,0,,,,,지나치게 발달시키다 / 지나치게 현상하다
10223,eco-resort,no,,1,0,1,0,,,,,자연친화적 리조트
10520,elbow room,yes,,3,0,1,0,,,,,자유 / 자유롭게 움직일 수 있을 만한 공간 / 충분한 여유
10855,abashedly,yes,,1,0,2,0,,,,,당황하여
10878,boozehound,no,,3,0,2,0,,,,,술고래 / 모주꾼 / 대주가
10989,soliloquist,yes,,2,0,1,0,,,,,혼잣말하는 사람 / 독백하는 사람
11322,sacralize,no,,1,0,1,0,,,,,신성하게 하다
11480,flinchingly,yes,,3,0,2,0,,,,,움찔하며 / 주춤하며 / 움츠러들어
11558,gold beetle,yes,,2,0,2,0,,,,,금속 광택이 있는 대형 딱정벌레 / 풍뎅이
11561,alcometer,no,algometer|altometer,2,0,1,0,,,,,음주 검지기 / 취도계
11571,indictee,yes,,2,0,2,0,,,,,피기소자 / 피고
11600,coplanarity,yes,,1,0,1,0,,,,,동일평면성
11743,swoln,no,swoon|sworn,3,0,1,0,,,,,부푼 / 부어오른 / 과장한
11846,nonrated,yes,,2,0,1,0,,,,,등급 외의 / 부사관보다 아래 계급의
11864,noninformation,no,,1,0,1,0,,,,,당면 문제에 관계가 없는 정보
11877,washpot,yes,,3,0,1,0,,,,,세탁용 큰 솥 / 주석 용해조 / 손 씻는 통
12073,cohabitee,no,,3,0,1,0,,,,,동거인 / 함께 사는 사람 / 동서자
12095,metaboly,yes,,3,0,1,0,,,,,변형 / 변태 / 변성
12323,goggly,yes,,1,0,3,0,,,,,눈을 휘둥그레 뜨고 보는
12325,chubbily,yes,,2,0,1,0,,,,,통통하게 / 토실토실하게
12331,conglomeracy,no,,1,0,2,0,,,,,복합 기업의 형성
12481,untrust,yes,,1,0,1,0,,,,,믿을 수 없다
12527,Jatinga,no,atinga,1,0,1,0,,,,,제잉가? (마을 이름)
12531,bullyproofing,no,,1,0,1,0,,,,,학교에서 왕따를 줄이거나 제거하는 것을 목표로 하는 교과 과정
12658,madoffed,no,,1,0,1,0,,,,,사기당한
12664,laundry room,yes,,1,0,1,0,,,,,세탁실
12667,one-up,yes,,3,0,6,0,,,,,유리한 / 한 점차로 앞지른 / …보다 한 수 앞서다
12699,prepone,no,prepose|pretone|prezone|propone|repone,1,0,1,0,,,,,시간을 당기다
12787,kvell,no,kell|knell|vell,3,0,1,0,,,,,흠뻑 즐기다 / 자랑스러운 듯이 기뻐하다 / 싱글벙글하다
12814,internuncial,yes,,2,0,1,0,,,,,개재하는 / 지각 신경과 운동 신경을 연락하는
12968,stibium,yes,,1,0,2,0,,,,,안티몬
12972,schloomp,no,schloop,2,0,1,0,,,,,어리석은 놈 / 빈둥거리다
12975,haeremai,yes,,1,0,1,0,,,,,어서 오십시오!
13011,ungraduated,yes,,2,0,1,0,,,,,졸업하지 않은 / 등급을 매기지 않은
13014,sciaenoid,yes,,1,0,1,0,,,,,민어과의
13098,cueist,yes,,2,0,2,0,,,,,당구 치는 사람 / 당구가
13245,gustiness,yes,,3,0,1,0,,,,,거셈 / 돌풍이 붊 / 돌풍 같음
13254,grievousness,yes,,2,0,1,0,,,,,통탄스러울 정도임 / 극심함
13348,exorable,yes,,2,0,9,0,,,,,설득당하기 쉬운 / 탄원으로 동요되는
13379,infirmarian,yes,,1,0,2,0,,,,,간호사
13386,cliqueless,yes,,1,0,1,0,,,,,파벌이 없는
13399,undercapitalize,yes,,1,0,1,0,,,,,…에 충분한 자본을 투입하지 않다
13432,accursedly,yes,,3,0,1,0,,,,,저주를 받아 / 저주받은 듯 / 지긋지긋하게
13482,impudicity,yes,,3,0,2,0,,,,,파렴치 / 음탕함 / 불근신
13498,repercussive,yes,,3,0,5,0,,,,,튀어서 돌아오는 / 되튀게 하는 / 반사시키는
13541,striction,yes,,3,0,1,0,,,,,압축 / 긴장 / 죄기
13720,countertrend,no,,2,0,2,0,,,,,반대의 경향 / 역경향
13804,digestant,yes,,1,0,1,0,,,,,소화제
13846,climacterium,no,,2,0,2,0,,,,,갱년기의 생리적 변화 / 갱년기
13847,annihilable,yes,,1,0,2,0,,,,,전멸시킬 수 있는
13873,deoxidizer,yes,,2,0,1,0,,,,,탈산소제 / 환원제
13960,taikonaut,no,,1,0,1,0,,,,,중국 우주인
13999,supercentenarian,no,,1,0,2,0,,,,,적어도 110살은 먹은 사람
14180,in bulk,yes,,2,0,1,0,,,,,① 포장하지 않고 / 산적 화물로 ②대량으로
14313,hunnishness,yes,,2,0,1,0,,,,,훈족 같음 / 잔혹함
14324,antonymic,no,,2,0,1,0,,,,,반의어의 / 반대말의
14359,vinedresser,no,vindresser,1,0,2,0,,,,,덩굴 식물 재배자
14372,winebibber,yes,,3,0,2,0,,,,,술고래 / 주호 / 대주가
14399,quadrans,yes,,1,0,1,0,,,,,콰드란스
14407,truthless,yes,,3,0,1,0,,,,,허위의 / 거짓의 / 거짓말을 하는
14559,califate,no,calicate,2,0,1,0,,,,,칼리프의 지위 / 영토
14568,deliverly,no,delivery,3,0,1,0,,,,,민첩하게 / 재빨리 / 재치있게
14579,explicably,no,explicable,2,0,1,0,,,,,설명되어 / 해명되어
14669,relucent,yes,,2,0,2,0,,,,,반짝이는 / 빛나는
14710,untillable,yes,,3,0,1,0,,,,,경작할 수 없는 / 불모의 / 수확의 가망성이 없는
14823,solvolysis,yes,,2,0,1,0,,,,,가용매 분해 / 용매화 분해
14827,pyrolyze,yes,,1,0,4,0,,,,,열분해하다
14853,widowerhood,yes,,1,0,1,0,,,,,홀아비 생활
15009,brokenheartedly,yes,,2,0,2,0,,,,,상심하여 / 비탄에 젖어
15056,deinstitutionalize,no,,2,0,1,0,,,,,제도적·획일적인 성격을 없애다 / 시설 밖에서 생활할 수 있게 하다
15181,castellation,yes,,3,0,2,0,,,,,성 쌓기 / 흉벽 / 축성
15265,ignitibility,yes,,2,0,1,0,,,,,가연성 / 점화 가능성
15283,unific,yes,,3,0,1,0,,,,,통합적인 / 통일하는 / 하나로 하는
15284,terminologist,yes,,1,0,1,0,,,,,술어 연구자
15296,imburse,yes,,2,0,7,0,,,,,저축하다 / …에 돈을 지불하다
15297,recurvation,yes,,1,0,1,0,,,,,후굴
15311,logist,no,legist|ologist|yogist,1,0,2,0,,,,,「…학자」 「…연구가」의 뜻
